2455260.85336 19.799 0.117 4.67 685.0
2455260.90029 19.686 0.096 4.00 787.0
2455261.79151 19.592 0.102 4.77 685.0
2455264.81438 19.757 0.117 5.16 594.0
2455264.86761 19.683 0.100 4.63 552.0
2455264.88488 19.746 0.103 4.40 552.0
2455265.79053 19.838 0.106 4.31 530.0
2455266.77867 19.703 0.117 5.49 515.0
2455267.82049 19.689 0.090 4.91 428.0
2455268.79175 19.525 0.089 5.29 454.0
2455269.78659 19.911 0.101 4.31 447.0
2455270.83098 19.825 0.085 3.82 407.0
2455271.78605 19.710 0.096 4.71 476.0
2455272.79290 19.754 0.112 5.57 431.0
2455273.84752 20.036 0.115 4.49 388.0
2455274.79627 19.871 0.119 5.16 449.0
2455275.78200 19.755 0.117 4.79 560.0
2455275.91321 19.874 0.149 4.75 813.0
2455276.81684 19.763 0.082 3.81 419.0
2455277.78307 19.853 0.104 4.62 429.0
2455277.91208 20.075 0.149 4.85 515.0
2455278.79310 19.744 0.105 5.13 438.0
2455279.79366 19.764 0.137 6.27 456.0
2455279.91738 19.870 0.140 4.26 1206.0
2455280.84535 19.614 0.070 3.69 440.0
2455281.78084 19.795 0.091 3.82 513.0
2455281.91750 19.599 0.107 3.58 1227.0
2455282.76133 19.881 0.125 4.02 674.0
2455282.90601 19.845 0.091 3.69 459.0
2455283.76251 19.944 0.170 5.41 684.0
2455284.76449 19.731 0.127 4.66 820.0
2455285.76013 19.702 0.146 5.21 937.0
2455285.88949 19.850 0.115 4.24 713.0
2455286.75136 19.974 0.168 4.35 893.0
2455287.82100 19.610 0.085 3.53 697.0
2455288.75436 19.714 0.114 3.79 853.0
2455292.82453 20.091 0.232 3.80 2421.0
2455293.83250 19.698 0.089 4.12 438.0
2455294.73371 19.910 0.104 4.68 401.0
2455294.77287 19.708 0.070 3.65 380.0
2455294.80995 19.824 0.072 3.53 365.0
2455294.87767 19.816 0.062 2.99 386.0
2455294.91964 19.766 0.089 3.56 627.0
2455295.77456 19.915 0.092 4.14 354.0
2455295.81298 19.964 0.095 4.15 358.0
2455295.85088 19.826 0.074 3.46 373.0
2455295.88972 19.801 0.083 3.81 383.0
2455296.77747 19.785 0.083 4.21 379.0
2455296.81499 19.822 0.076 3.64 375.0
2455296.85240 19.785 0.068 3.54 370.0
2455296.89087 19.737 0.069 3.42 370.0
2455297.77338 19.868 0.086 4.00 403.0
2455297.81144 19.777 0.078 3.96 384.0
2455297.84931 19.989 0.080 3.36 360.0
2455297.88800 19.876 0.082 3.86 384.0
2455298.77428 19.924 0.099 4.72 415.0
2455298.81220 19.858 0.089 3.88 405.0
2455298.84997 19.740 0.079 3.88 395.0
2455298.88952 19.888 0.077 3.36 385.0
2455298.92302 20.115 0.123 3.24 707.0
2455299.75899 20.027 0.088 4.06 362.0
